t,ActivePower,Y(t-1),WindSpeed
1,-9.157691629,,3.039088088
2,-2.2907425,-9.157691629,2.646405158
3,-8.453904972,-2.2907425,2.366922117
4,38.54246761,-8.453904972,3.506605121
5,66.72784688,38.54246761,3.158758682
6,35.65379047,66.72784688,3.382438711
7,4.248056694,35.65379047,3.446360922
8,384.0900921,4.248056694,5.339905095
9,257.2588028,384.0900921,4.69110478
10,297.503005,257.2588028,4.690155372
11,105.4449472,297.503005,3.688115542
12,140.189727,105.4449472,3.936070435
13,160.0960118,140.189727,3.957842005
14,8.684159767,160.0960118,3.264255428
15,53.68414668,8.684159767,3.748589337
16,224.0369203,53.68414668,4.590589363
17,166.2267815,224.0369203,4.1836887
18,31.45145423,166.2267815,3.146510395
19,-8.775292547,31.45145423,2.753115605
20,58.23065723,-8.775292547,3.394724856
21,44.14241929,58.23065723,3.77545695
22,336.3128115,44.14241929,5.302759775
23,244.0614805,336.3128115,4.764736626
24,207.6665171,244.0614805,4.723229271
25,210.5629416,207.6665171,4.620752437
26,215.3245461,210.5629416,4.710905306
27,316.1232037,215.3245461,5.15329477
28,284.3191995,316.1232037,4.898584053
29,408.3639065,284.3191995,5.567146959
30,454.0445221,408.3639065,5.496878763
31,533.5826556,454.0445221,5.965788722
32,513.1142921,533.5826556,5.902920905
33,547.1365159,513.1142921,5.712670447
34,673.2062989,547.1365159,6.393731374
35,980.8281353,673.2062989,7.064868232
36,1493.367794,980.8281353,8.1607663
37,1112.253013,1493.367794,7.710021794
38,983.2860022,1112.253013,7.309510184
39,832.1494247,983.2860022,6.937762953
40,815.6236394,832.1494247,6.737799744
41,687.3472321,815.6236394,6.124378753
42,837.7377241,687.3472321,6.584758659
43,1006.008036,837.7377241,7.51166065
44,934.2729089,1006.008036,7.2772608
45,687.8405221,934.2729089,6.511326195
46,600.4637679,687.8405221,6.138873468
47,498.4127061,600.4637679,5.806810922
48,496.4408105,498.4127061,5.835231395
49,543.2148239,496.4408105,5.983077572
50,587.890545,543.2148239,6.129177611
51,686.5774856,587.890545,6.5776721
52,772.4543261,686.5774856,6.561027639
53,767.1990756,772.4543261,6.90330535
54,572.9827463,767.1990756,6.286584016
55,613.0427728,572.9827463,6.504416533
56,631.3115826,613.0427728,6.3118946
57,639.463525,631.3115826,6.389293835
58,469.0873289,639.463525,5.770566472
59,547.2841961,469.0873289,6.057416561
60,546.5210453,547.2841961,5.949878779
61,482.1968174,546.5210453,5.6268893
62,709.8202122,482.1968174,6.336916506
63,726.4714622,709.8202122,6.583233144
64,645.8421345,726.4714622,6.071429785
65,710.0860178,645.8421345,6.5714554
66,815.3510179,710.0860178,6.923847163
67,730.5580544,815.3510179,6.443616461
68,702.19414,730.5580544,6.373772006
69,753.6323663,702.19414,7.267099674
70,815.0978111,753.6323663,6.794944339
71,960.3760568,815.0978111,7.414541826
72,807.49597,960.3760568,7.120036595
73,794.5790417,807.49597,7.050188789
74,1001.486558,794.5790417,7.204878611
75,1138.50166,1001.486558,7.547715511
76,1069.365792,1138.50166,7.459416456
77,1011.465908,1069.365792,7.372844189
78,925.0960753,1011.465908,6.851394526
79,790.7513306,925.0960753,7.124466389
80,549.5779026,790.7513306,6.006594632
81,291.0371142,549.5779026,4.991447132
82,231.4900444,291.0371142,4.853833144
83,190.1991468,231.4900444,4.303341942
84,217.96172,190.1991468,4.649815605
85,267.9007022,217.96172,5.012905378
86,307.4818628,267.9007022,5.151555389
87,265.6447617,307.4818628,5.121788739
88,399.0548495,265.6447617,5.492878711
89,191.7646582,399.0548495,4.353426111
90,263.3597512,191.7646582,4.835635153
91,377.9729484,263.3597512,5.474826011
92,363.5581172,377.9729484,5.275260939
93,516.8709347,363.5581172,6.076489274
94,451.3199606,516.8709347,5.366544311
95,585.1799233,451.3199606,6.494588761
96,579.7993442,585.1799233,6.152647184
97,526.9344153,579.7993442,5.821317424
98,409.1684339,526.9344153,5.507860906
99,482.9866859,409.1684339,5.78524985
100,514.4857342,482.9866859,5.761347179
