Periode,Jumlah_Gempa
1,8
2,6
3,5
4,5
5,14
6,45
7,13
8,3
9,5
10,3
11,7
12,6
13,11
14,3
15,5
16,13
17,8
18,8
19,5
20,10
21,10
22,9
23,4
24,6
25,11
26,17
27,12
28,9
29,4
30,1
31,36
32,6
33,12
34,10
35,8
36,11
37,16
38,17
39,16
40,14
41,20
42,20
43,30
44,32
45,25
46,52
47,23
48,22
49,21
50,28
51,28
52,15
53,30
54,16
55,27
56,20
57,23
58,22
59,34
60,22
61,46
62,28
63,25
64,39
65,40
66,32
67,37
68,22
69,32
70,35
71,52
72,160
73,171
74,123
75,19
76,18
77,26
78,17
79,25
80,13
81,9
82,31
83,26
84,19
85,24
86,27
87,51
88,31
89,28
90,32
91,20
92,24
93,33
94,20
95,26
96,40
97,43
98,26
99,40
100,34
101,44
102,50
103,31
104,33
105,42
106,56
107,73
108,56
109,31
110,24
111,26
112,32
113,34
114,23
115,26
116,30
117,35
118,29
119,25
120,35
